frame,track_id,class_id,class_name,confidence,x1,y1,x2,y2
0,1,2,Swimming,0.4892754554748535,752.8287353515625,378.41064453125,866.7994384765625,502.03643798828125
0,2,2,Swimming,0.3289622366428375,767.800048828125,397.72406005859375,857.5897216796875,501.42950439453125
0,3,2,Swimming,0.3144310414791107,547.676025390625,263.60931396484375,665.463623046875,336.11785888671875
1,1,2,Swimming,0.505388081073761,753.1326904296875,374.26373291015625,873.0238647460938,504.5518798828125
1,3,2,Swimming,0.302018940448761,550.2227172851562,263.7249450683594,664.5308227539062,334.0356750488281
2,1,2,Swimming,0.4866614043712616,752.7216186523438,373.401611328125,873.8342895507812,505.3348388671875
2,3,2,Swimming,0.3015269935131073,550.111572265625,263.44659423828125,664.8828125,333.96343994140625
2,4,2,Swimming,0.47165507078170776,892.2555541992188,150.22116088867188,1014.9680786132812,263.135986328125
3,3,2,Swimming,0.4236885607242584,546.4315185546875,261.64984130859375,668.664306640625,336.70550537109375
3,4,2,Swimming,0.3522462546825409,889.477783203125,144.9978485107422,1017.6156616210938,263.0299072265625
4,3,2,Swimming,0.5530259609222412,548.9219360351562,259.8807067871094,669.3711547851562,333.8056640625
4,4,2,Swimming,0.5472391247749329,885.4353637695312,139.6968536376953,1020.6024169921875,264.3923034667969
4,1,2,Swimming,0.48955458402633667,754.6727905273438,377.0419616699219,870.0494995117188,502.5848693847656
5,3,2,Swimming,0.47721895575523376,550.8034057617188,258.9186706542969,673.8070678710938,334.7574462890625
5,4,2,Swimming,0.4788292646408081,883.8108520507812,138.73629760742188,1018.2906494140625,262.9942626953125
5,1,2,Swimming,0.6181973814964294,759.786865234375,379.1228332519531,874.0984497070312,503.689697265625
6,3,2,Swimming,0.6069890260696411,549.7479248046875,258.49945068359375,677.0135498046875,337.4671325683594
6,4,2,Swimming,0.5035987496376038,886.4735107421875,141.93106079101562,1016.3290405273438,262.1396484375
6,1,2,Swimming,0.679286539554596,769.3672485351562,384.7185974121094,872.0874633789062,497.017333984375
7,3,2,Swimming,0.4609440267086029,553.8923950195312,258.2802734375,674.8102416992188,333.4320983886719
7,4,2,Swimming,0.6152481436729431,889.072021484375,142.02618408203125,1020.2891845703125,263.6630554199219
7,1,2,Swimming,0.7108666896820068,775.850830078125,383.93304443359375,873.3629760742188,491.06207275390625
8,3,2,Swimming,0.42334431409835815,556.949951171875,259.7535400390625,673.3336791992188,331.7514953613281
8,4,2,Swimming,0.5559520721435547,889.6202392578125,143.35499572753906,1018.5188598632812,263.482177734375
8,1,2,Swimming,0.7555677890777588,779.761962890625,388.05859375,871.2601928710938,488.2410888671875
